Industry,Customer Action/Query,Inferred Intent,Customer Classification,Customer Type,Customer Profile
Banking,I want to open a new savings account.,Interest in new product,New Opportunity,Standard,New Prospect
Banking,What are the interest rates for home loans?,Researching loan options,Potential Buyer,Standard,Prospective Borrower
Banking,My credit card bill is unusually high this month. Can you check?,Query about a potential issue,Existing Customer,Standard,Problem Solver
Banking,I need to understand overdraft fees on my checking account.,Clarification on charges,Risk (Churn/Dissatisfaction),Standard,At-Risk User
Banking,How do I apply for a personal loan?,Intent to apply for credit,Potential Buyer,Standard,Prospective Borrower
Banking,I missed my last loan payment. What are my options?,Financial difficulty / delinquency,Risk (Credit),Standard,At-Risk Borrower
Banking,Can I increase my credit limit?,Seeking more credit / service,Existing Customer,Standard,Engaged User
Banking,I want to close my account.,Intent to churn,Risk (Churn),Standard,Churn Risk
Banking,What are your business banking solutions?,Exploring business services,New Opportunity,Small Business,New Prospect
Banking,I need to dispute a transaction.,Issue resolution,Existing Customer,Standard,Problem Solver
Banking,I'm interested in setting up direct deposit for my paycheck.,Account setup / service inquiry,New Opportunity / Existing Customer,Standard,Engaged User
Banking,What are the requirements for a student checking account?,Researching specific account types,Potential Buyer,Student,New Prospect
Banking,How do I transfer money internationally?,International service inquiry,Existing Customer,Standard,Global Transactor
Banking,My debit card was lost/stolen. How do I report it?,Security / emergency service,Existing Customer,Standard,Emergency
Banking,Tell me about your investment accounts.,Exploring investment options,Potential Buyer,Standard,Prospective Investor
Banking,I'd like to set up a recurring bill payment.,Service setup / convenience,Existing Customer,Standard,Engaged User
Banking,What is the current exchange rate for USD to EUR?,Currency exchange inquiry,Existing Customer,Standard,Global Transactor
Banking,I'm having trouble logging into my online banking account.,Technical support,Existing Customer,Standard,Digital User
Banking,Can I get a copy of my bank statement from last year?,Document request,Existing Customer,Standard,Routine User
Banking,What are the benefits of your premium checking account?,Upselling potential,Potential Buyer / Existing Customer,Standard,Upsell Target
Banking,I'm considering refinancing my existing mortgage.,Refinancing inquiry,Potential Buyer / Existing Customer,Standard,Prospective Borrower
Banking,Do you offer any financial literacy workshops?,Seeking educational resources,Potential Buyer / Existing Customer,Standard,Information Seeker
Banking,How do I set up mobile banking?,Digital service adoption,Existing Customer,Standard,Digital Adopter
Banking,I'd like to pre-qualify for a car loan.,Loan pre-qualification,Potential Buyer,Standard,Prospective Borrower
Banking,What are the fees associated with your safe deposit boxes?,Service inquiry,Potential Buyer / Existing Customer,Standard,Interested User
Banking,Can I link my external bank account for transfers?,Account Linking Inquiry,Existing Customer,Standard,Engaged User
Banking,I need to change my PIN for my debit card.,Card Management,Existing Customer,Standard,Routine User
Banking,What are the steps to apply for a student loan?,Loan Application Inquiry,Potential Buyer,Student,Prospective Borrower
Banking,I'm calling about a wire transfer I sent yesterday.,Wire Transfer Status,Existing Customer,Standard,Global Transactor
Banking,How can I set up bill pay for my utilities?,Bill Payment Setup,Existing Customer,Standard,Engaged User
Banking,What's the process for reporting a phishing email?,Security Reporting,Information Seeker,Standard,Security Conscious
Banking,I'm interested in consolidating my credit card debt.,Debt Consolidation Inquiry,Potential Buyer / Risk (Debt),Standard,At-Risk Borrower
Banking,Do you have options for managing multiple business accounts?,Business Account Management,Existing Customer,Small Business,Account Manager
Banking,I'd like to increase the daily limit on my debit card.,Card Limit Modification,Existing Customer,Standard,Engaged User
Banking,What are the requirements for opening a trust account?,Specialized Account Inquiry,New Opportunity,High-Net-Worth,Estate Planner
Banking,My account was frozen. How do I unfreeze it?,Account Status Issue,Existing Customer / Risk (Problem),Standard,Problem Solver
Banking,How can I get a cashier's check?,Service Request,Existing Customer,Standard,Routine User
Banking,I need information on foreign currency exchange.,Currency Exchange Info,Existing Customer / Potential Buyer,Standard,Global Transactor
Banking,What are the penalties for early withdrawal from a CD?,CD Penalty Inquiry,Existing Customer / Risk (Decision),Standard,Investor
Banking,I want to apply for a business line of credit.,Business Credit Inquiry,New Opportunity,Small Business,Prospective Borrower
Banking,How do I add a power of attorney to my account?,Account Authorization,Existing Customer,Standard,Estate Planning
Banking,Can I get a personal financial review?,Financial Advisory Inquiry,Potential Buyer / Existing Customer,Standard,Prospective Planner
Banking,What are the features of your mobile check deposit?,Digital Service Feature,Existing Customer,Standard,Digital User
Banking,I'm moving and need to update my address with the bank.,Personal Info Update,Existing Customer,Standard,Routine User
Banking,Do you have an ATM near [specific location]?,Location-based Service,Existing Customer,Standard,Routine User
Banking,I'm interested in opening an IRA account.,Retirement Account Inquiry,New Opportunity,Standard,Prospective Investor
Banking,What are the steps to set up direct debit for my mortgage?,Mortgage Service Setup,Existing Customer,Standard,Homeowner
Banking,My online banking is showing incorrect information.,Data Discrepancy,Existing Customer / Risk (Dissatisfaction),Standard,Problem Solver
Banking,How can I protect myself from identity theft?,Security Information,Information Seeker,Standard,Security Conscious
Banking,I'd like to get a copy of a cleared check.,Document Request,Existing Customer,Standard,Routine User
Banking,What are the eligibility criteria for your best mortgage rates?,Mortgage Eligibility,Potential Buyer,Standard,Prospective Borrower
Banking,I'm calling to report a lost or stolen checkbook.,Security Reporting,Existing Customer,Standard,Emergency
Banking,Do you offer online financial planning tools?,Digital Tools Inquiry,Existing Customer / Potential Buyer,Standard,Engaged User
Banking,How do I enroll in e-statements?,Service Enrollment,Existing Customer,Standard,Digital Adopter
Banking,I need information on applying for a student credit card.,Student Product Inquiry,Potential Buyer,Student,New Prospect
Banking,What's the process for getting a certified check?,Service Request,Existing Customer,Standard,Routine User
Banking,I'm trying to set up a new payee in bill pay and it's not working.,Technical Issue,Existing Customer,Standard,Digital User
